data,tipo_crime,bairro,quantidade
2022-01-01,roubo,Centro,5
2022-01-01,furto,Centro,8
2022-01-01,roubo,Barra,3
2022-01-02,furto,Barra,6
2022-01-02,roubo,Centro,4
2022-01-03,roubo,Liberdade,7
2022-01-03,furto,Liberdade,9
2022-01-04,roubo,Centro,6
2022-01-04,furto,Barra,5
2022-01-05,roubo,Centro,4
2022-01-05,furto,Centro,7
2022-01-06,roubo,Barra,5
2022-01-06,furto,Liberdade,8
2022-01-07,roubo,Centro,6
2022-01-07,furto,Centro,9
2022-01-08,roubo,Barra,4
2022-01-08,furto,Barra,6
2022-01-09,roubo,Liberdade,5
2022-01-09,furto,Liberdade,7
2022-01-10,roubo,Centro,6
